Name,Return over 1year,Industry,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Scale,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Escorts Kubota,11.25,Automobiles - Tractors,39161.69,12,8.56,10.67,12.69,13.46,12.56,37.22,38.96,29.99,29.34,28.61,8.05,7.16,11.44,3.13,13.52,19.54,35.85,16.83,2.18,2,4.22,4.45,8,11.77,8.01,0.51,18.96,68.04,13.73,0,8.1,1.37,0.01,114.11,N,Y,Y,Y,Mid,0,0,0,1,1,2
Bajaj Auto,89.93,Automobiles - Scooters And 3 - Wheelers,285013.11,26.48,20.5,22.01,21.81,21.78,23.07,38.67,21.09,20.11,19.58,19.87,17.38,8.13,10.9,8.34,18.15,11.47,10.1,9.12,3.62,5,9.2,5.83,7,17.21,16.65,0.78,28.97,55.04,21.89,0.01,12.9,1.36,0.17,62.84,Y,Y,N,Y,Large,0,1,1,0,1,3
Maruti Suzuki,8.92,Automobiles - Passenger Cars,361652.56,16.84,12.54,12.29,10.79,11.67,12.54,24.59,35.02,38.11,36.28,39.93,26.32,10.51,11.06,12.28,42.99,16.78,11.87,17.8,1.39,5,4.22,2.49,8,9.51,6.88,1.09,29.14,58.19,3.31,0,7.79,0.52,0,93.91,N,Y,Y,Y,Large,1,0,0,0,1,2
M & M,80.09,Automobiles - Passenger Cars,338345.54,18.39,18.11,17.11,11.8,12.63,12.52,30.64,20.67,22.38,20.89,23.91,23.25,5.84,7.51,6.51,80,16.79,18.46,9.58,1.82,3,5.11,2.38,6,8.82,8.55,0.78,20.87,18.54,9.44,0.06,3.88,0.87,1.64,3.05,Y,Y,N,Y,Large,1,0,0,0,1,2
Hyundai Motor I,,Automobiles - Passenger Cars,149812.27,39.42,25.54,27.4,,,,24.74,,,,,19.45,,,,,,,,,4,,2.15,6,8.67,7.81,0,177.93,82.5,4.37,0,14.19,1.16,0.07,53.08,N,N,Y,Y,Large,0,0,0,1,0,1
Eicher Motors,35.25,Automobiles - Motorcycles / Mopeds,125837.72,24.23,21.12,20.3,18.84,20.79,22.56,30.08,33.67,36.76,34.36,41.72,23.77,11.04,12.99,9.28,43.64,12.6,13.22,26.4,2.37,5,6.97,7.43,7,24.2,20.18,1.11,34.9,49.1,9.52,0,11.35,0.71,0.02,104.02,N,Y,N,Y,Large,0,1,0,0,1,2
TVS Motor Co.,53.9,Automobiles - Motorcycles / Mopeds,116390,26.55,25.85,24.11,22.36,23,23.25,61.68,47.42,47.21,44.78,47.59,26.32,14.19,17.76,16.66,39.42,18.25,18.03,24.96,3.38,5,15,2.78,7,4.4,4,0.33,22.54,50.27,8.33,0,6.09,0.95,1.88,2.5,Y,Y,N,Y,Large,0,1,1,0,1,3
Hero Motocorp,59.8,Automobiles - Motorcycles / Mopeds,99456.11,21.95,16.73,17.8,18.72,21.18,24.18,24.47,21.25,20.71,20.01,21.34,6.87,2.15,4.05,4.1,10.49,2.37,1.25,7.09,10.24,7,5.62,2.54,7,9.98,7.96,2.31,74.73,34.75,8.72,0,9.21,0.6,0.03,75.33,Y,Y,N,Y,Large,0,1,1,0,1,3
Ola Electric,,Automobiles - Motorcycles / Mopeds,34091.3,,-116.22,,,,,,,,,,1699.32,,,,25.99,,,,,3,,6.8,4,-31.89,-53.1,0,0,36.78,48.41,0,7.11,0.83,6.41,-7.56,N,N,N,Y,Mid,0,0,0,0,0,0
Tata Motors,34.83,Automobiles - LCVs / HCVs,318148.12,49.44,5.25,14.63,5.84,5.24,8.92,9.37,16.62,18.25,16.48,14.38,20.58,7.72,7.17,6.52,128,88.17,22.84,6.69,0.1,5,3.38,0.72,8,7.45,0.76,0.35,7.32,42.58,20.49,0,3.33,0.61,1.26,4.4,N,N,Y,Y,Large,1,1,0,0,1,3
