Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Life Insurance,48.96,571558.42,63.45,125.05,79.15,80.87,,,13.68,15.43,15.43,15.43,15.43,6.98,8.16,,,,,,,0.19,4,6.91,0.66,6,4.84,4.59,1.11,15.46,96.5,2.17,0,0.41,3.09,0,,N,Y,Y,Y,1,1,0,0,1,3
Bajaj Finance,-7.95,427735.74,22.12,23.48,21.34,19.83,20.01,,27.82,36.33,41.46,47.77,45.36,27.26,24.35,27.62,,47.08,27.59,32.03,,0.95,4,4.93,6.87,4,26.31,27.81,0.52,15.4,54.7,9.36,0,2.43,2.39,3.74,1.94,N,Y,N,N,1,0,0,1,1,3
Bajaj Finserv,9,272614.09,15.28,14.81,14.19,13.77,13.9,14.12,32.07,36.71,38.09,36.32,33.97,22.13,20.97,23.99,33.76,22.04,20.36,20.06,18.07,1.57,4,3.99,2.16,5,14.14,14.88,0.06,1.96,60.65,22.84,0.01,1.1,0.25,4.66,2.06,N,Y,N,N,1,0,0,1,1,3
Jio Financial,39.61,197714.2,1.27,,,,,,123.1,134.25,134.25,134.25,134.25,,,,,,,,,,2,1.44,101.76,3,86.51,56.07,0,0,47.12,24.46,0,3.63,43.14,0,,N,N,N,Y,0,0,0,0,1,1
SBI Life Insuran,24.09,161986.06,11.96,13.19,12.87,13.94,14.79,15.59,74.25,77.03,74.84,69.91,69.97,17.24,24.23,23.25,22.56,4.62,5.91,8.29,8.64,12.5,3,9.96,1.08,7,1.26,2.02,0.17,14.28,55.39,4.1,0,1,1.82,0,,N,Y,N,N,0,0,0,0,1,1
HDFC Life Insur.,16.56,152689.33,11.38,9.57,10.6,12.78,14.48,16.22,90.17,89.24,91.22,90.76,90.76,12.37,21.17,18.66,19.45,2.81,4.57,7.41,7.25,15.23,2,9.79,1.38,7,1.55,1.95,0.28,27.33,50.34,10.75,0,1.13,1.03,0.06,,Y,Y,N,N,0,0,0,0,1,1
Shriram Finance,59.81,116286.44,15.93,17.27,15.34,14.87,15.45,14.92,14.83,11.73,11.52,11.85,14.34,27.83,18.56,18.79,15.69,30.33,14,21.55,13.85,0.63,5,2.22,3.02,3,20.33,19.75,1.46,22.96,25.4,5.07,0,1.48,2.28,3.97,1.65,Y,Y,N,Y,1,0,1,1,1,4
Cholaman.Inv.&Fn,17.48,115325.49,20.16,20.41,20.24,19.03,19.24,19.09,29.94,30.65,28.11,25.49,24.27,25.99,21.94,22.26,19.31,29.97,21.62,23.7,22.99,1.28,5,5.39,5.13,3,17.85,20.69,0.15,4.91,50.24,6.02,0,1.64,3.92,7.38,1.48,N,Y,N,N,1,1,0,1,1,4
Bajaj Holdings,50.94,113031.13,14.77,11.15,12.18,11.85,11.88,12.44,15.26,14.96,13.98,12.79,12.01,54.98,31.59,10.57,14.93,25.81,18.98,16.65,13.84,0.8,4,1.89,65.23,7,432.73,948.17,1.29,20.06,51.46,30.82,0,4.02,1.22,0,4139.8,Y,Y,Y,N,0,0,0,1,1,2
ICICI Pru Life,43.13,107303.7,8.07,8.45,8.27,9.99,12.14,16.25,122.5,93.07,83.18,68.8,61.79,2.54,16.68,13.13,15.15,-3.93,-2.05,-9.32,-5.97,-61.87,3,9.27,1.08,5,0.95,1.65,0.08,10.16,73.05,4.66,0,0.9,1.24,0.1,,Y,Y,N,N,0,0,0,0,1,1
