Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Page Industries,14.63,47988.04,38.35,46.44,45.32,44.13,44.7,45.55,83.31,80.02,80.87,79.86,73.97,17.38,9.94,11.57,14.45,18.62,8.1,11.46,14.06,10.29,4,30.06,10.38,7,12.42,12.12,0.86,72.48,44.29,5.35,0,32.62,0.75,0.12,18.54,Y,Y,N,Y,0,0,1,0,1,2
Aditya Bir. Fas.,39.03,32166.97,-20.24,-2.2,-10.04,-14.34,,,,96.71,84.95,84.95,84.95,38.67,11.51,,,4.34,,,,,3,7.56,2.26,2,-5.85,-0.82,0,0,49.25,15.89,0,3.4,0.38,2.34,0.03,N,N,N,N,0,0,0,0,1,1
K P R Mill Ltd,11.66,30858.97,19.49,22.87,23.32,23.08,22.53,22.42,38.3,27.72,23.24,20.03,17.76,19.77,12.36,11.57,9.84,15.59,20.21,16.81,19.83,2.04,4,7.08,5.09,5,12.97,12.74,0.55,21.22,70.68,6.39,0,11.7,1.11,0.27,15.84,Y,Y,N,Y,0,0,1,0,1,2
Vedant Fashions,-1.07,30833.57,26.68,34.03,29.58,25.38,,,80.15,75.94,75.94,75.94,75.94,34.28,11.3,,,16.59,3.17,,,4.51,2,19.25,23.8,4,29.28,31.18,0.67,49.85,74.96,3.93,0,22.07,1.74,0.28,11.36,Y,Y,N,N,0,0,0,0,1,1
Welspun Living,1.23,14333.2,15.62,4.77,12.09,13.5,13.68,17.97,20.79,23.45,19.36,16.79,13.98,9.66,8.2,5.54,8.36,8.89,13.9,0.81,23.22,1.58,4,3.17,1.43,8,6.94,2.42,0.07,1.43,66.24,18,0,4.93,0.75,0.58,6.88,N,Y,Y,Y,1,0,0,0,1,2
Raymond Lifestyl,,13474.78,177.41,18.65,153.27,,,,6.11,,,,,-41.35,,,,,,,,,4,,162.7,4,2661.59,17.78,0,0,54.67,24.78,9.37,10.37,0.78,0,1077.5,N,N,N,Y,0,0,0,0,0,0
Garware Tech.,20.43,7605.95,18.52,17.2,18.03,18.68,19.01,18.9,35.88,36.84,36.49,34.82,25.95,8.61,5.43,6.63,6.83,10.82,13.44,14.92,24.16,3.03,2,6.33,5.69,8,15.72,13.09,0.08,2.94,53,26.74,0,9.44,1.1,0.1,15.57,N,Y,N,Y,0,0,0,0,1,1
Shoppers Stop,3.24,7259.11,32.1,80.74,23.9,-27.11,-7.14,-5.41,363.68,95.44,95.44,102.97,94.23,35.14,3.82,2,1.5,32.05,4.49,23.02,27.37,79.23,2,27.63,1.62,4,1.89,2.83,0,0,65.57,4.68,9.81,3.07,0.18,11.16,1.1,Y,Y,N,N,0,0,0,0,1,1
Go Fashion (I),-4.56,6480.54,14.56,16.85,14.35,13.54,14.3,,75.59,74.15,74.15,74.15,74.15,44.92,21.74,31.14,,142.48,8.01,9.5,,3.52,4,9.92,7.98,5,10.73,12.14,0,0,52.78,2.62,16.33,10.78,2.32,0.75,3.59,Y,Y,N,N,0,0,0,0,1,1
Gokaldas Exports,-1.95,5989.25,10.27,19.58,16.01,14.45,12.9,10.06,47.69,24.47,20.82,20.61,18.19,25.25,15.16,14.35,7.72,44.73,20.68,18.61,19.43,1.56,3,4.11,2.14,1,4.7,7.02,0,0,9.39,29.82,0,5.68,0.62,0.62,4.06,Y,Y,N,N,1,0,0,0,0,1
