Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Oracle Fin.Serv.,176.87,94447.61,28.98,24.81,26.99,26.59,27.23,26.59,37.85,18.41,17.61,19.11,22.26,8.54,5.15,5.34,5.47,7.75,9.65,8.59,4.72,3.83,5,13.37,13.73,6,34.83,31.7,2.2,93.74,72.69,9.67,0,20.41,5.74,0,95.07,Y,Y,Y,Y,0,0,1,0,1,2
PB Fintech.,145.27,74790.63,1.13,-8.95,-8.46,-10.44,,,730.52,843.42,843.42,843.42,843.42,57.1,47.51,,,26,14.87,,,43.61,3,12.6,19.77,7,1.87,-19.08,0,0,0,31.44,0,20.32,7.29,0.04,5.46,N,Y,N,Y,0,0,0,0,1,1
Coforge,54.52,51619.98,24.09,25.13,24.82,23,22.1,20.74,65.48,41.8,37.62,32.18,22.8,25.33,20.08,18.47,14.82,19.03,14.59,17.12,13.31,4.48,4,8.63,5.09,5,9.1,9.79,0.98,58.13,0,9.75,0,8.9,1.44,0.18,9.08,Y,Y,N,N,0,0,0,0,1,1
Tata Elxsi,-8.04,43539.15,34.47,41.07,37.35,34.68,34.81,35.39,53.3,62.06,59.5,53.37,35.66,24.83,17.34,16.26,16.49,29.39,22.42,24.2,26.55,2.38,3,17.51,11.76,4,22.28,24.07,1,55.03,43.91,35.04,0,26.06,5.24,0.08,54.68,N,Y,N,N,0,0,0,0,1,1
Tata Technolog.,,41031.34,21.88,23.68,21.89,19.02,,,63.14,62.5,62.5,62.5,62.5,29.05,11.7,,,,,,,4.64,3,12.74,8,5,13.28,14.14,0.83,60.01,55.22,37.72,0,14.42,1.8,0.08,48.65,Y,N,Y,N,0,0,0,0,1,1
KPIT Technologi.,21.72,37656.39,31.19,25.7,27.01,22.86,,,51.86,68.52,57.72,53.86,53.86,33.76,50.01,,,61.29,49.45,,,1.05,5,15.06,6.96,9,12.24,11.48,0.49,30.56,39.47,21.11,0,16,1.25,0.14,20.7,N,Y,N,Y,0,1,0,0,0,1
Firstsour.Solu.,113.17,23449.06,14.55,15.95,16.15,15.49,15.31,14.75,44.75,19.23,17.53,15.11,11.72,7.66,10.61,8.6,7.39,3.62,6.12,8.83,9.8,6.85,1,6.33,3.55,6,8.12,8.47,1.05,47.39,53.66,15,0,8.89,0.92,0.41,6.85,Y,Y,N,N,0,0,0,0,1,1
Affle India,40.38,20551.31,15,18.51,18.56,21.17,,,64.69,62.16,66.45,65.82,65.82,52.78,49.18,,,26.1,39.44,,,1.49,4,8.22,10.51,3,16.13,17.12,0,0,55.09,13.7,0,12.63,3.07,0.07,19.91,Y,Y,N,N,0,0,0,0,1,1
Cyient,9.78,19951.71,18.84,16.56,17.61,16.12,16.77,17.19,28.74,26.27,22.42,18.96,17.55,20.04,9.13,10.36,12.47,25.66,9.11,10.84,10.68,3.31,4,3.88,2.77,7,10.48,9.06,1.67,48.77,23.15,17.92,0,7.08,2.4,0.11,9.37,Y,Y,Y,Y,0,0,1,0,0,1
Newgen Software,102.67,17199.07,22.72,19.72,21.57,20.16,20.43,20.12,62.59,28.62,22.08,22.52,22.52,23.01,15.53,16.8,17.14,26.22,19.46,25.7,-2.39,3.19,4,14.22,13.62,8,20.7,18.78,0.33,23.56,54.3,16.52,0,20.87,4.11,0.03,80.21,Y,Y,N,Y,0,1,1,0,1,3
