Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
20 Microns,110.24,1018.19,17.75,15.34,16.11,14.98,15.09,14.2,17.14,8.95,8.94,8.42,9.23,17.15,10.14,10.27,9.05,35.2,17.97,20.05,48.07,0.95,5,2.88,1.19,8,7.39,5.98,0.43,7.87,44.99,53.99,0,6.12,1.16,0.34,5.87,Y,Y,N,Y,1,0,1,0,0,2
21st Cent. Mgmt.,505.96,116.43,86.98,-70.57,32.13,1.16,0.66,5.45,1.96,1.74,2.01,2.48,2.1,73.96,,22.1,36.1,86.12,49.25,28.7,48.53,0.04,6,2.19,0.8,7,83.36,5.63,2.25,8.16,64.3,35.91,0,11.95,16.28,0,,Y,N,N,Y,1,0,1,0,1,3
360 ONE,93.08,37001.96,24.47,21.41,21.97,17.25,,,37.53,27.1,30.46,30.46,30.46,20.86,13.1,,,28.54,,,,2.27,6,9.45,11.81,3,27.53,31.99,1.63,73.64,15.72,10.23,43.25,4.87,2.86,2.79,2.6,Y,Y,N,N,0,1,0,1,0,2
3B Blackbio,73.62,1178.66,15.42,14.91,17.2,33.43,32.96,31.74,32.73,14.23,12.7,13.16,15.71,-31.11,26.06,24.31,12.95,-37.3,35.53,54.7,51.35,0.75,3,5.28,14.87,5,43.29,41.75,0.22,8.01,41.29,53.48,0,10.35,6.56,0,413.5,Y,Y,Y,Y,0,0,0,0,0,0
3i Infotech,-28.77,441.98,-14.99,0.45,-5.72,-0.71,3.56,,,97,15.22,8.62,8.2,10.17,-6.22,-2.95,-4.63,,,,3.05,,4,1.5,0.55,3,-8.62,0.41,0,0,0,91.4,0,2.86,1.05,0.29,-3.24,N,Y,Y,N,0,0,0,0,0,0
3M India,13.34,38034.73,24.81,18.75,18.07,14.6,15.92,16.55,67.19,76.15,81.42,76.73,75.66,17.5,6.93,7.53,8.47,53.48,10.65,12.1,28.58,6.31,4,16.04,9.64,9,13.64,11.14,0.47,143.96,75,12.8,0,21.27,1.87,0.01,155.79,N,N,Y,Y,0,0,0,0,1,1
5Paisa Capital,11.87,1520.78,10.29,10.44,9.33,8.41,4.85,3.77,25.27,29.9,50.05,50.05,50.05,26.73,45.42,76.24,56.14,34.8,33.5,32.13,24.21,0.69,5,2.64,3.65,4,13.14,12.8,0,0,32.78,45.4,0,2.37,1.43,0.29,3.56,N,Y,Y,Y,1,0,0,0,0,1
63 Moons Tech.,72.96,2091.27,6.49,-1.43,1.32,0.36,0.16,-0.9,12.76,11.37,11.37,19.61,16.15,43.36,12.57,11.67,-1.83,147.67,52.43,37.2,14.83,0.24,3,0.62,5.28,8,44.43,-25.09,0.44,4.14,45.63,51.3,0,2.92,5.67,0,147.54,Y,Y,N,Y,0,0,0,0,0,0
7Seas Enter.,99.87,132.5,20.69,,,,,,135.2,66.67,63.97,63.97,63.97,738.48,125.99,8.34,21.16,-31.52,15.44,-8.44,7.69,8.54,2,10.89,10.47,5,8.14,7.79,0,0,31.32,68.67,0,23.12,12.63,0.04,6.14,Y,Y,Y,Y,0,0,0,0,0,0
A B B,87.64,159390.06,22.92,17.01,17.76,14.06,13.72,12.87,99.04,102.52,102.77,93.06,85.24,21.52,9.32,2.75,3.07,92.69,19.98,19.52,21.4,4.96,5,25.13,13.94,9,11.94,8.92,0.32,49.99,75,7.29,0,24.64,1.6,0.01,124.78,N,Y,Y,Y,0,1,0,1,1,3
A B Infrabuild,201.45,487.5,20.2,19.01,15.59,13.72,15.17,14.14,41.63,9.91,7.89,7.71,7.71,43.77,27.32,14.79,8.37,29.82,-5.19,20.39,-4.07,1.28,4,6.04,2.66,5,6.38,4.92,0,0,36.82,67.26,0,7.93,1.14,0.51,4.07,Y,Y,N,Y,1,0,1,0,0,2
A B Real Estate,140.22,29474.81,1.29,4.82,3.48,3.99,29.95,,188.77,72.63,60.9,52.44,52.44,19.93,2.74,-7.25,,54.05,-61.59,-11.14,,-3.06,5,7.28,5.86,4,1.34,4.78,0.19,110.52,50.21,23.43,0,4.69,0.27,1.17,10.15,Y,Y,N,N,0,0,0,0,1,1
A K Spintex,174.03,173.87,24.32,27.25,20.95,15.95,14.47,13.94,24.8,9.59,9.38,8.72,9.77,34.67,14.28,12.03,11.48,163.86,46.09,22.43,34.69,0.54,4,4.46,1.56,7,7.21,6.29,0,0,70.76,29.24,0,7.08,0.83,0.18,13.48,Y,Y,Y,Y,1,0,1,0,1,3
A-1,-12.09,367.77,2.75,7.63,8.2,8.05,9.33,,208.96,81.95,67.73,63.02,63.02,12.4,7.89,10.01,,-20.83,-20.63,-35.64,,-10.13,4,7.7,1.69,6,0.64,1.09,0.47,156.82,70.03,27.07,0,14.64,3.29,0.22,4.18,Y,Y,Y,N,0,0,0,0,1,1
A.K.Capital Serv,38.15,704.91,9.36,8.78,9.86,9.92,10.59,10.8,7.65,3.82,3.69,3.68,3.85,2.93,-5.73,-0.97,2.62,-5.03,-2.29,1.49,6.07,-3.34,4,0.99,1.36,6,20.31,24.64,1.5,8.77,71.5,26.45,0,1.29,0.95,2.94,1.6,Y,N,N,N,0,0,0,0,1,1
A2Z Infra Engg.,80.98,293.24,-132.12,15.74,-54.06,-33.02,-30.48,-29.84,,,13.27,13.2,13.2,-2.17,-14.87,-12.58,-5.7,12.55,,8.84,6.75,,3,9.11,0.78,5,-15.45,4.55,0,0,28.14,70.22,99.68,1.1,0.72,6.15,-8.33,N,N,Y,N,0,0,0,0,0,0
AAA Technologies,74.09,143.47,12.03,11.88,11.46,13.49,15.05,13.99,42.07,38.92,32.92,32.92,32.92,22.36,14.32,7.59,4.32,41.11,-37.26,6.36,2.93,4.53,3,5.13,5.98,9,15.9,14.89,0.45,19.98,71.51,28.45,0,11.55,19.53,0,,Y,Y,N,Y,0,0,0,0,1,1
Aadhar Hsg. Fin.,,18036.28,18.41,16.48,16.89,15.76,,,24.05,25.26,25.26,25.26,25.26,17.98,15.37,,,30.11,-22.58,,,0.7,5,,6.97,6,28.99,27.61,0,0,75.89,10.33,0,2.37,2.42,3.14,1.97,N,N,N,Y,0,0,0,1,1,2
Aakash Explor.,64.85,110.16,11.19,9.19,11.24,11.6,11.8,,17.27,21.58,21.14,20.45,20.45,15.56,12.29,15.53,,15.08,13.39,22.65,,1.29,4,1.88,1.1,9,6.72,4.97,0,0,66.67,33.33,0,4.33,0.96,0.44,5.37,N,Y,N,Y,1,0,0,0,1,2
Aarey Drugs,39.95,162.95,3.81,3.33,4.41,5.25,6.02,6.15,24.95,22.06,13.74,13.01,18.85,4.32,2.22,-0.01,7.07,-15.59,-9.75,-8.1,10.36,-3.86,3,1.25,0.35,5,1.18,0.9,0,0,45.28,51.81,0,3.67,1.49,0.24,4.39,Y,Y,N,Y,1,0,0,0,0,1
Aarnav Fashions,75.73,223.57,3.19,0.25,2.97,3.62,3.62,3.6,31.22,16.16,28.08,28.44,28.44,13.03,196.05,148.16,,-25.65,17.22,21.83,12.5,0.32,4,1.25,0.61,8,1.56,0.11,0.94,375.8,66.53,33.47,0,3.17,0.75,0.61,1.82,Y,N,Y,Y,1,0,0,0,1,2
Aaron Industries,-9.98,267.7,22.48,29.69,25.57,22.91,22.98,,40.56,42.15,39.72,35.56,35.56,36.32,29.22,44.53,,46.27,41.91,25.25,,0.94,3,7.47,4.13,3,10.01,9.67,0.39,16.54,73.06,26.43,0,8.01,0.43,0.88,7.39,N,Y,N,Y,1,0,0,0,1,2
Aartech Solonics,26.78,193.42,2.05,4.49,2.57,2.23,3.08,3.11,83.37,89.12,70.4,63,63,44.08,17.59,14.42,13.95,6.61,-15.24,7.8,10.15,-5.47,2,6.21,5.86,5,1.93,6.14,0.41,0,52.68,45.91,0,9.72,1.16,0.13,7.16,N,Y,N,N,0,0,0,0,0,0
Aarti Drugs,0.77,4364.15,12.39,14.65,15.78,19.85,19.52,19.97,34.9,26.13,25.51,24.02,20.54,5.79,9.28,11.05,8.84,-17.65,11.43,10.32,9.34,3.21,1,3.76,2.05,7,6.26,6.12,0.21,6.48,55.64,34.01,0,5.76,1.05,0.43,6.72,Y,Y,N,Y,0,0,0,0,1,1
Aarti Industries,7.79,17712.69,8.22,11.55,15.54,16.11,17.15,17.94,36.6,34.51,34.65,31.38,26.59,12.25,8.86,10.53,9.3,-8.3,-3.92,2.72,10.19,-11.92,4,3.35,2.6,6,6.59,8.24,0.2,8.7,42.61,29.58,3.85,4.86,0.51,0.61,3,Y,Y,N,N,1,0,0,0,1,2
Aarti Pharma,50.58,5486.5,13.06,13.14,13.92,,,,24.36,22.93,22.93,22.93,22.93,,,,,,,,,,3,3.12,2.81,4,11.69,9.94,0.5,12.53,46.1,35.17,0,5.92,0.91,0.16,18.35,Y,Y,N,Y,0,0,0,0,1,1
Aarti Surfactant,19.94,590.95,11.5,8.36,8.43,8.85,,,30.54,42.26,58.09,58.09,58.09,8.19,17.42,,,1.13,,,,0.76,3,2.7,1.01,8,3.78,2.11,0,0,49.92,48.95,0,5.01,0.78,0.45,3.18,N,Y,Y,Y,1,0,0,0,0,1
