Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Balkrishna Inds,11.85,56207.94,17.55,13.79,17.58,18.11,18.07,18.4,34.5,34.02,32,31.14,28.53,17.45,12.45,14.09,9.54,7.38,13.87,12.2,11.74,2.49,2,5.98,5.57,7,15.37,10.24,0.55,21.02,58.29,6.52,0,8.65,0.93,0.33,17.55,Y,Y,N,Y,0,0,0,0,1,1
MRF,13.46,52046.76,12.55,4.87,7.36,8.68,9.33,12.34,25.22,36.54,27.56,25.68,22.98,15.91,9.4,9.41,7.47,15.49,11.81,4.1,9.33,2.14,4,3.12,2.01,8,7.83,3.04,0.16,4.07,27.77,41.88,0,5.41,0.5,0.17,8.82,N,Y,N,Y,0,0,0,0,0,0
I R C T C,23.17,64968,40.45,45.36,41.89,37.51,35.72,,54.61,66.01,69.08,68.94,68.94,76.5,17.96,15.9,,93.62,32.2,3.32,,1.7,3,20.11,14.8,6,27.04,27.85,0.8,46.79,62.4,16.14,0,19.9,1.95,0.02,93.27,N,Y,Y,N,0,0,0,0,1,1
Interglobe Aviat,76.68,168650.31,,,,,,,25.44,20.92,23.8,23.46,20.92,67.58,19.31,20.59,20.01,46.46,101.59,23.63,-34.61,0.25,4,45.16,2.28,7,10.41,-1.42,0,0,49.29,4.64,0,4.24,1.17,15.86,2.45,Y,N,N,Y,0,0,1,0,1,2
Indus Towers,98.52,90199.54,24.19,9.71,21.77,22.18,20.37,17.83,11.96,13.9,13.9,15.29,17.89,27.02,33.18,24.74,10.2,17.25,12.15,7.96,11.21,0.57,5,3.18,3.08,7,20.37,7.4,0,0,53,5.81,5.66,4.4,1.03,0.75,11.53,N,Y,Y,Y,1,1,0,1,1,4
Adani Enterp.,19.09,310872.81,9.73,9.63,8.33,7.64,7.04,6.98,74.81,111.98,104.34,85.41,23.94,34.6,19.02,14.87,5.78,46.52,41.75,20.61,4.65,1.75,5,7.86,3.04,6,3.75,2.09,0.05,4.57,74.72,7.36,0,4.3,0.58,1.67,2.48,N,Y,N,Y,0,0,0,0,1,1
Avenue Super.,10.55,263690.05,14.48,15.95,14.12,13.46,14.03,14.39,98.15,117.81,123.33,123.04,124.9,28.13,20.48,23.04,26.91,31.62,21.96,26.17,29.37,4.27,5,13.09,4.81,5,4.96,5.54,0,0,74.65,7.91,0,22.69,0.8,0.04,61.9,N,Y,N,N,0,0,0,0,1,1
Trent,246.89,261690.32,27.16,11.94,15.2,9.46,8.75,7.72,208.9,182.69,183.43,167.92,164.79,68.36,36.3,31.58,18.16,100.91,54.41,39.73,57.94,3.7,5,64.33,18.89,8,7.31,3.59,0.04,7.65,37.01,22.98,0,62.28,0.52,0.43,7.32,Y,Y,N,Y,0,1,1,0,1,3
FSN E-Commerce,26.49,50616.69,2.44,1.42,2.58,3.22,,,1310.97,1504.53,1504.53,1504.53,1504.53,37.79,41.86,,,-74.5,15.32,,,48.39,5,40.07,7.54,5,0.62,0.41,0,0,52.18,15.86,0,26.9,0.59,0.77,1.95,N,Y,N,Y,0,0,0,0,1,1
Grasim Inds,41.47,175921.34,6.9,8.85,8.67,8.45,7.73,7.92,32.33,18.32,17.62,18.17,15.9,19.68,11.15,20.23,16.55,10.26,18.78,4.46,8.15,1.79,2,1.94,1.32,4,7.78,9.42,0.38,11.81,43.11,25.04,0,1.56,0.55,1.55,2.38,Y,Y,N,N,1,0,0,0,1,2
