Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Balkrishna Inds,11.85,56207.94,17.55,13.79,17.58,18.11,18.07,18.4,34.5,34.02,32,31.14,28.53,17.45,12.45,14.09,9.54,7.38,13.87,12.2,11.74,2.49,2,5.98,5.57,7,15.37,10.24,0.55,21.02,58.29,6.52,0,8.65,0.93,0.33,17.55,Y,Y,N,Y,0,0,0,0,1,1
MRF,13.46,52046.76,12.55,4.87,7.36,8.68,9.33,12.34,25.22,36.54,27.56,25.68,22.98,15.91,9.4,9.41,7.47,15.49,11.81,4.1,9.33,2.14,4,3.12,2.01,8,7.83,3.04,0.16,4.07,27.77,41.88,0,5.41,0.5,0.17,8.82,N,Y,N,Y,0,0,0,0,0,0
Apollo Tyres,27.81,30488.02,13.22,8.4,9.21,7.97,8.08,10.01,17.96,19.17,18.86,17.97,14.76,13.41,7.66,9.81,6.58,34.94,13.64,3.51,2.88,1.12,4,2.19,1.2,9,6.9,4.16,1.25,22.13,37.36,20.97,1.16,3.99,0.61,0.35,6.22,N,Y,Y,Y,1,0,0,0,0,1
CEAT,30.15,11115.48,18.13,6.14,9.33,10.32,10.33,12.46,18.76,22.23,16.88,16.69,15.55,16.21,11.33,10.96,8.13,13.15,19.06,8.99,8.06,0.98,4,2.65,0.89,8,5.68,1.82,1.09,18.88,47.21,16.39,0,3.59,0.34,0.5,4.06,N,Y,N,Y,1,0,0,0,1,2
JK Tyre & Indust,25.65,10248.35,20.62,9.49,13.32,12.89,11.25,13.91,11.84,15.31,14.19,12.44,8.98,18.12,7.67,10.02,7.06,37.34,31.71,12.19,7.97,0.36,4,2.17,0.69,7,5.55,2.03,1.2,14.92,50.55,27.16,0,3.36,0.75,1.03,3.96,N,Y,Y,Y,1,1,0,0,1,3
I R C T C,23.17,64968,40.45,45.36,41.89,37.51,35.72,,54.61,66.01,69.08,68.94,68.94,76.5,17.96,15.9,,93.62,32.2,3.32,,1.7,3,20.11,14.8,6,27.04,27.85,0.8,46.79,62.4,16.14,0,19.9,1.95,0.02,93.27,N,Y,Y,N,0,0,0,0,1,1
TBO Tek,,17394.13,46.05,49.6,39.53,31.84,,,85.35,97.13,97.13,97.13,97.13,114.16,25.87,,,33.06,-34.51,,,1.86,1,,12.49,6,14.63,13.72,0,0,44.41,3.72,0,6.45,1.1,0.39,13.08,N,N,N,Y,0,0,0,0,1,1
Thomas Cook (I),47.42,8639.25,13.76,0.39,0.72,-1.69,1.06,-22.18,33.32,50.08,64.57,48.53,46.73,109.4,2.02,-2.58,18.95,41.49,19.12,26.29,7.91,1.34,3,4.2,1.15,8,3.72,0.21,0.22,10.9,63.83,21.64,0,3.95,0.81,0.2,4.72,N,N,Y,Y,1,0,0,0,1,2
Le Travenues,,5585.98,9.32,7.54,4.53,,,,90.53,133.31,133.31,133.31,133.31,69.13,74.64,,,-81.66,14.88,,,4.21,4,9.39,7.72,6,5.82,5.83,0,0,0,31.66,0,13.88,2.26,0.02,26.77,N,N,Y,N,0,0,0,0,0,0
Easy Trip Plann.,-27.5,5119.43,31.9,46.86,40.6,41.13,40.05,40.51,25.63,55.14,60.04,60.04,60.04,51.5,36.64,24.67,-5.03,37.04,48.38,-48.84,-24.82,0.52,4,8.03,10.55,6,33.94,34.16,0.35,14.87,50.38,44.47,0,13.06,2.81,0,81.61,N,Y,N,N,0,0,0,0,0,0
Interglobe Aviat,76.68,168650.31,,,,,,,25.44,20.92,23.8,23.46,20.92,67.58,19.31,20.59,20.01,46.46,101.59,23.63,-34.61,0.25,4,45.16,2.28,7,10.41,-1.42,0,0,49.29,4.64,0,4.24,1.17,15.86,2.45,Y,N,N,Y,0,0,1,0,1,2
