Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Apollo Tyres,27.81,30488.02,13.22,8.4,9.21,7.97,8.08,10.01,17.96,19.17,18.86,17.97,14.76,13.41,7.66,9.81,6.58,34.94,13.64,3.51,2.88,1.12,4,2.19,1.2,9,6.9,4.16,1.25,22.13,37.36,20.97,1.16,3.99,0.61,0.35,6.22,N,Y,Y,Y,1,0,0,0,0,1
TBO Tek,,17394.13,46.05,49.6,39.53,31.84,,,85.35,97.13,97.13,97.13,97.13,114.16,25.87,,,33.06,-34.51,,,1.86,1,,12.49,6,14.63,13.72,0,0,44.41,3.72,0,6.45,1.1,0.39,13.08,N,N,N,Y,0,0,0,0,1,1
K E C Intl.,42.25,23826.23,8.8,4.74,7.87,11.83,14.14,13.96,60.78,55.87,27.22,22.42,23.03,14.94,12.6,12.77,9.68,-14.19,-6.91,1.38,16.97,-8.8,2,5.62,1.18,6,1.74,1.01,0.45,29.66,50.1,9.97,0,3.89,1.03,0.97,1.76,Y,Y,N,Y,1,0,0,0,1,2
Kalpataru Proj.,85.05,19227.94,10.37,8.57,9.56,10.8,11.41,10.11,40.14,21.19,15.89,18.66,24.56,14.87,12.61,14.85,10.77,-3.04,0.59,17.46,15.27,23.07,2,3.74,0.96,8,2.64,2.36,0.68,25.5,35.24,8.14,24.73,3.14,1.14,0.78,2.23,Y,Y,N,Y,0,0,0,0,0,0
Brainbees Solut.,,32179.03,-8.3,-14.13,-8.18,,,,,,,,,59.31,,,,,,,,,5,,4.97,4,-4.96,-9.59,0,0,0,66.3,0,8.73,0.91,0.45,-1.79,N,N,N,Y,0,0,0,0,0,0
Aegis Logistics,149.4,26235.5,15.13,15.91,15.92,14.21,14.83,15.39,44.93,26.75,32.17,33.77,33.68,22.39,4.64,8.7,3.43,35.99,19.28,23.91,24.2,2.19,4,6.37,3.71,5,9.42,5.81,0.87,32.37,58.1,17.29,0,6.24,3.56,1.06,8.48,Y,Y,N,Y,0,0,1,0,1,2
Cello World,,18228.54,44.21,125.45,,,,,54.22,58.08,58.08,58.08,58.08,23.99,,,,-95.32,,,,,3,15.24,8.98,6,17.67,15.86,0.18,9.62,75,3.73,0,18.07,1.35,0.32,190.12,N,N,N,Y,0,0,0,0,1,1
Page Industries,14.63,47988.04,38.35,46.44,45.32,44.13,44.7,45.55,83.31,80.02,80.87,79.86,73.97,17.38,9.94,11.57,14.45,18.62,8.1,11.46,14.06,10.29,4,30.06,10.38,7,12.42,12.12,0.86,72.48,44.29,5.35,0,32.62,0.75,0.12,18.54,Y,Y,N,Y,0,0,1,0,1,2
Aditya Bir. Fas.,39.03,32166.97,-20.24,-2.2,-10.04,-14.34,,,,96.71,84.95,84.95,84.95,38.67,11.51,,,4.34,,,,,3,7.56,2.26,2,-5.85,-0.82,0,0,49.25,15.89,0,3.4,0.38,2.34,0.03,N,N,N,N,0,0,0,0,1,1
K P R Mill Ltd,11.66,30858.97,19.49,22.87,23.32,23.08,22.53,22.42,38.3,27.72,23.24,20.03,17.76,19.77,12.36,11.57,9.84,15.59,20.21,16.81,19.83,2.04,4,7.08,5.09,5,12.97,12.74,0.55,21.22,70.68,6.39,0,11.7,1.11,0.27,15.84,Y,Y,N,Y,0,0,1,0,1,2
