Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
Abbott India,25.75,60581.84,34.88,31.61,32.2,30.47,29.38,28.47,48.9,49.25,50.38,48.79,46.59,10.71,9.72,10.53,9.9,20.24,22.01,23.33,20.21,2.22,4,16.38,10.22,8,20.54,17.75,1.44,72.53,74.99,15.86,0,22.32,1.96,0.02,141.34,N,Y,Y,Y,0,1,0,0,1,2
Glaxosmi. Pharma,80.47,43852.45,37.32,26.78,48.57,37.29,31.68,28.07,56.93,55.14,56.46,59.36,59.64,5.69,2,2.48,3.03,11.32,9.05,11.5,3.55,6.29,4,24.67,12.51,7,19.01,18.13,1.24,91.89,75,13.3,0,22.54,0.96,0.01,554.19,Y,Y,Y,Y,0,1,1,0,1,3
Pfizer,34.72,24261.85,16.1,19.8,19.41,18.25,17.3,16.04,40.26,34.72,37.45,35.24,35.4,-0.68,1.05,1.57,7.03,3.25,5.01,11.63,4.98,8.04,4,6.75,10.91,5,24.97,24.79,0.66,29.04,63.92,16.5,0,12.18,4.22,0.01,56.63,Y,Y,Y,Y,0,0,0,0,1,1
Astrazeneca Phar,51.53,17855.5,22.92,22.95,19.88,20.54,19.72,16.83,136.29,93.51,101.01,105.12,107.41,16.78,12.21,13.21,10.58,17.57,22.33,37.84,26.87,6.1,5,25.08,12.87,7,11.51,12.59,0.34,37.15,75,17.02,0,29.89,1.97,0.01,152.41,Y,Y,Y,N,0,1,0,0,1,2
Sanofi India,38.54,14673.79,51.54,30.05,33.49,27.46,24.47,22.36,29.85,17.9,20.67,21.42,21.47,-0.59,0.57,2.7,4.66,5.13,9.12,9.95,9.06,3.27,4,21.41,6.16,6,20.71,18.99,2.62,63.68,60.4,11.2,0,21.49,0.81,0.03,459,Y,N,Y,Y,0,0,0,0,1,1
Sanofi Consumer,,10940.93,,,,,,,,,,,,,,,,,,,,,0,,,0,,,0,,60.4,10.23,0,,2.27,0.11,,N,N,N,N,0,0,0,0,1,1
P & G Health Ltd,-1.63,8278.84,33.39,33.49,32.04,26.65,33.93,28.48,38.47,36.99,38.97,37.08,34.46,4.5,6.28,2.14,3.74,6.71,-23.71,15.35,14.42,-1.62,3,15.38,7.19,7,18.69,18.62,1.2,49.56,51.82,26.74,0,20.76,1.9,0.02,408.65,Y,Y,N,Y,0,0,0,0,1,1
Torrent Pharma.,78.73,116178.02,24.23,20.04,20.95,21.39,19.46,23.05,66.76,46.61,42.11,41.17,37.58,10.25,6.93,9.14,9.91,8.45,21.55,8.74,9.15,3.1,2,15.48,10.35,9,14.74,12.66,0.82,57.21,71.25,7.21,0,14.58,1.21,0.42,9.33,Y,Y,Y,Y,0,1,0,1,1,3
Ajanta Pharma,69.1,37090.15,23.23,17.86,21.29,21.36,21.43,24.01,43.44,27.77,26.86,25.32,27.26,13.35,15.41,11.35,13.29,8.55,16.76,7.52,13.72,2.74,4,10.48,8.56,8,19.2,15.87,1.21,78.95,66.26,7.51,11.17,16.42,1.76,0.01,165.6,Y,Y,N,Y,0,1,1,0,1,3
Gland Pharma,3.54,26456.66,9.26,10.86,12.49,,,,36.64,38.1,40.12,40.12,40.12,17.83,,,,-8.38,,,,,2,3.03,4.52,4,13.63,22.64,1.25,42.64,51.83,8.33,0,6.55,2.85,0.04,41.49,N,Y,N,N,0,0,0,0,1,1
ERIS Lifescience,53.78,17584.87,16.28,18.03,18.86,20.48,22.64,24.82,50.65,25.64,24.3,26.2,26.68,18.35,15.39,15.13,14.72,3.27,6.32,7.07,-40.21,8.32,1,6.34,7.04,4,19.63,21.96,0,0,54.88,18.47,18.51,5.34,0.86,0.99,3.56,Y,Y,N,N,0,0,0,0,1,1
Caplin Point Lab,76.14,13611.41,24.23,25.59,25.31,25.8,27.52,28.6,28.52,20.07,18.53,19.01,21.66,16.87,21.17,22.83,29.57,24.04,20.98,24.88,41.63,1.35,4,6.48,7.74,4,27.17,25.62,0.28,8.31,70.56,23.93,0,11.13,3.9,0.1,1077.04,Y,Y,Y,Y,1,0,1,0,1,3
Marksans Pharma,155.06,11945.4,16.46,18.61,17.64,19.72,18.52,18.46,35.89,14.14,12.98,14.18,20.26,16.53,16.84,16.07,13.2,6.28,29.94,64.12,14,1.1,4,5.78,5.27,4,14.46,14.34,0.23,8.67,43.87,30.7,0,10.29,3.12,0.12,36.6,Y,Y,N,Y,1,0,1,0,1,3
Shilpa Medicare,130.89,7652.14,1.71,-1.72,1.07,3.94,4.94,6.44,186.32,122.31,61.17,33.19,41.98,8.43,9.34,5.67,7.21,-34.12,-20.86,-16.56,-10.03,-9.38,4,3.76,6.46,8,2.69,-2.96,0,0,44.33,37.9,7.9,5.56,0.77,0.52,1.76,Y,Y,N,Y,0,0,0,0,1,1
Sun Pharma.Inds.,67.41,446372.28,16.69,16.55,15.84,13.79,12.41,13.8,42.33,30.28,29.98,30.04,30.04,13.13,10.78,6.32,11.67,25.14,23.38,5.35,6.42,1.81,2,7.01,9.07,9,20.67,19.7,0.73,33.82,54.48,8.89,0.79,10.77,1.47,0.05,56.68,Y,Y,Y,Y,1,0,0,1,1,3
Cipla,26.8,120242.89,16.79,12.84,14.42,13.5,12.67,12.12,27.12,29.14,29.55,30.08,31.68,10.39,9.51,8.68,9.74,21.32,25.07,24.32,11.63,1.08,4,4.5,4.6,7,16.45,12.63,0.87,25.47,30.92,16.11,0,8.85,1.78,0.02,68.08,N,Y,Y,Y,1,0,0,0,1,2
Dr Reddy's Labs,20.7,108715.32,21.39,21.64,18.67,16.73,15.46,15.84,19.53,20.58,24.48,27.11,27.54,13.72,12.64,10.2,7.64,41.14,24.3,23.46,11.19,0.8,5,3.85,3.76,6,19.68,18.64,0.61,11.96,26.64,24.2,0,7.26,1.46,0.07,38.33,N,Y,Y,Y,1,0,0,1,1,3
