Name,Return over 1year,Market Capitalization,Return on equity,Return on equity preceding year,Average return on equity 3Years,Average return on equity 5Years,Average return on equity 7Years,Average return on equity 10Years,Price to Earning,Historical PE 3Years,Historical PE 5Years,Historical PE 7Years,Historical PE 10Years,Sales growth 3Years,Sales growth 5Years,Sales growth 7Years,Sales growth 10Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,EPS growth 10Years,PEG Ratio,G Factor,Price to book value,Price to Sales,Piotroski score,NPM last year,NPM preceding year,Dividend yield,Dividend Payout Ratio,Promoter holding,Public holding,Pledged percentage,Altman Z Score,Quick ratio,Debt to equity,Interest Coverage Ratio,PE Expanding,Book Value Expanding,Reducing Debt,Increasing Margin,Valuation,B Model,Growth,Financial Health ,Ownership,Score
CEAT,30.15,11115.48,18.13,6.14,9.33,10.32,10.33,12.46,18.76,22.23,16.88,16.69,15.55,16.21,11.33,10.96,8.13,13.15,19.06,8.99,8.06,0.98,4,2.65,0.89,8,5.68,1.82,1.09,18.88,47.21,16.39,0,3.59,0.34,0.5,4.06,N,Y,N,Y,1,0,0,0,1,2
JK Tyre & Indust,25.65,10248.35,20.62,9.49,13.32,12.89,11.25,13.91,11.84,15.31,14.19,12.44,8.98,18.12,7.67,10.02,7.06,37.34,31.71,12.19,7.97,0.36,4,2.17,0.69,7,5.55,2.03,1.2,14.92,50.55,27.16,0,3.36,0.75,1.03,3.96,N,Y,Y,Y,1,1,0,0,1,3
Thomas Cook (I),47.42,8639.25,13.76,0.39,0.72,-1.69,1.06,-22.18,33.32,50.08,64.57,48.53,46.73,109.4,2.02,-2.58,18.95,41.49,19.12,26.29,7.91,1.34,3,4.2,1.15,8,3.72,0.21,0.22,10.9,63.83,21.64,0,3.95,0.81,0.2,4.72,N,N,Y,Y,1,0,0,0,1,2
Le Travenues,,5585.98,9.32,7.54,4.53,,,,90.53,133.31,133.31,133.31,133.31,69.13,74.64,,,-81.66,14.88,,,4.21,4,9.39,7.72,6,5.82,5.83,0,0,0,31.66,0,13.88,2.26,0.02,26.77,N,N,Y,N,0,0,0,0,0,0
Easy Trip Plann.,-27.5,5119.43,31.9,46.86,40.6,41.13,40.05,40.51,25.63,55.14,60.04,60.04,60.04,51.5,36.64,24.67,-5.03,37.04,48.38,-48.84,-24.82,0.52,4,8.03,10.55,6,33.94,34.16,0.35,14.87,50.38,44.47,0,13.06,2.81,0,81.61,N,Y,N,N,0,0,0,0,0,0
SpiceJet,56.32,7288.95,,,,,,,,,,13.21,12.25,11.15,-5,1.87,1.23,19.07,-4.71,,5.59,,3,,1.08,5,-5.76,-16.96,0,0,29.14,39.63,52.78,1.13,0.26,,-0.09,N,N,N,Y,0,0,0,0,0,0
Honasa Consumer,,12989.71,,,,,,,101.36,100.34,100.34,100.34,100.34,56.54,153.54,,,25.99,14.88,,,1.05,5,11.53,7.07,7,6.86,3.44,0,0,34.98,28.23,0,15.61,1.82,0.1,20.21,Y,N,Y,Y,0,0,1,0,0,1
Redington,10.52,12545.92,16.78,21.87,20.48,18.64,17.78,17.44,10.59,10.09,9.79,9.57,10,16.2,13.93,11.73,12.33,16.63,17.72,15.18,13.77,0.59,5,1.66,0.14,5,1.38,1.81,3.86,39.77,0,23.84,0,5.66,1.02,0.39,5.01,Y,Y,N,N,1,0,0,0,0,1
Redtape,69.34,11930.97,31.34,34.96,,,,,74.49,56.41,56.41,56.41,56.41,,,,,,,,,,3,18.4,6.3,5,9.57,9.67,0,0,71.8,14.72,0,14.66,0.24,0.74,6.4,Y,N,N,N,0,0,0,0,1,1
MMTC,41.45,11011.5,9.97,49.15,,,,,45.53,59.27,73.67,74.25,74.25,-95.17,-83.72,-68.84,-59.47,20.4,5.48,20.23,18.54,8.31,1,6.77,52.82,4,4492.28,8.8,0,0,89.93,7.84,0,6,1.56,0.1,786.24,N,Y,Y,Y,0,0,0,1,1,2
